School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4489,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,26062,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,29734,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1187,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1271,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,92001,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,97080,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,160024,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,169500,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14285,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14602,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,115041,,,Chronically Absent Students,White,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,120188,,,Chronically Absent Students,White,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3404,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3600,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4305,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4842,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,355,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,414,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,64895,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,70488,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,49215,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,51603,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,13754,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14559,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,74050,,,Chronically Absent Students,White,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,80741,,,Chronically Absent Students,White,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2114,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2000,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,121,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,124,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,54,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,63,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,979,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1081,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1514,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1381,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,790,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,772,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6676,,,Chronically Absent Students,White,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6398,,,Chronically Absent Students,White,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,479,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,440,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4072,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4334,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,348,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,362,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,69573,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,72777,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,23906,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,25222,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,19198,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,19327,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,131200,,,Chronically Absent Students,White,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,132981,,,Chronically Absent Students,White,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8206,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8367,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,873,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,855,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,641,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,650,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,10143,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,10688,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,18853,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,19367,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,11086,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,11290,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,29510,,,Chronically Absent Students,White,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,30455,,,Chronically Absent Students,White,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1790,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1873,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2384,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2447,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1457,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1518,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3213,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3427,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,35264,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,35933,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8598,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8878,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,63009,,,Chronically Absent Students,White,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,66822,,,Chronically Absent Students,White,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,431,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,458,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4192,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4351,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,176,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,177,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,43659,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,44995,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,38344,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,40179,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,11425,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,11657,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,92788,,,Chronically Absent Students,White,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,96851,,,Chronically Absent Students,White,Male,,,,
2022-2023,PUERTO RICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,26,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,PUERTO RICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,20,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,PUERTO RICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,PUERTO RICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,PUERTO RICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,16,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,PUERTO RICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,PUERTO RICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,51224,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,PUERTO RICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,53529,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,PUERTO RICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,94,,,Chronically Absent Students,White,Female,,,,
2022-2023,PUERTO RICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,99,,,Chronically Absent Students,White,Male,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,234,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,230,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,546,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,565,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,33,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,44,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2003,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2114,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8584,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,9016,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1287,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1238,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8228,,,Chronically Absent Students,White,Female,,,,
2022-2023,RHODE ISLAND,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8714,,,Chronically Absent Students,White,Male,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,317,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,372,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,661,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,713,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,117,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,185,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,34770,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,37139,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,12812,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,13302,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6403,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6676,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,38678,,,Chronically Absent Students,White,Female,,,,
2022-2023,SOUTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,39891,,,Chronically Absent Students,White,Male,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4730,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4748,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,145,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,165,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,49,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,42,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,576,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,704,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2018,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2042,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1156,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1218,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6917,,,Chronically Absent Students,White,Female,,,,
2022-2023,SOUTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6594,,,Chronically Absent Students,White,Male,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,232,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,249,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,900,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,919,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,158,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,159,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,33667,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,34567,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,15742,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,16501,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5748,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5807,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,56656,,,Chronically Absent Students,White,Female,,,,
2022-2023,TENNESSEE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,58719,,,Chronically Absent Students,White,Male,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2033,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2170,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,11804,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,13300,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1132,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1248,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,96630,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,102377,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,355214,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,368194,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,17076,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,17258,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,107022,,,Chronically Absent Students,White,Female,,,,
2022-2023,TEXAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,110561,,,Chronically Absent Students,White,Male,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1418,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1455,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1095,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1078,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2772,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3006,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1282,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1438,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,24814,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,25384,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3388,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3436,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,53048,,,Chronically Absent Students,White,Female,,,,
2022-2023,UTAH,,,,,814,Chronic absenteeism--Students absent 10% or more school days,55354,,,Chronically Absent Students,White,Male,,,,
